"T.ms","PAA.X.radsec^2","PAA.Y.radsec^2","PAA.Z.radsec^2","PAA.R.radsec^2","PAV.X.radsec","PAV.Y.radsec","PAV.Z.radsec","PAV.R.radsec","PLA.X.msec^2","PLA.Y.msec^2","PLA.Z.msec^2","PLA.R.msec^2","PLV.X.msec","PLV.Y.msec","PLV.Z.msec","PLV.R.msec"
  0.0000,   23.416,  -7.011,   2.212,  24.543,   -0.272,  -1.878,   0.427,   1.945,   -6.956, -22.691,   1.931,  23.812,    0.000,   0.000,   0.000,   0.000
  0.3125,   35.718, -10.638,   2.878,  37.379,   -0.257,  -1.883,   0.428,   1.948,   -7.036, -22.865,   1.657,  23.981,    0.000,   0.000,   0.000,   0.000
  0.6250,   49.801, -14.768,   3.448,  52.059,   -0.237,  -1.889,   0.430,   1.952,   -7.132, -23.117,   1.316,  24.228,    0.000,   0.000,   0.000,   0.000
  0.9375,   64.659, -19.098,   3.788,  67.527,   -0.214,  -1.896,   0.432,   1.956,   -7.240, -23.459,   0.914,  24.568,    0.000,   0.000,   0.000,   0.000
  1.2500,   79.340, -23.340,   3.795,  82.789,   -0.186,  -1.904,   0.434,   1.962,   -7.361, -23.904,   0.460,  25.016,    0.000,   0.000,   0.000,   0.000
  1.5625,   93.231, -27.306,   3.425,  97.208,   -0.155,  -1.913,   0.436,   1.968,   -7.497, -24.459,  -0.039,  25.582,    0.000,   0.000,   0.000,   0.000
  1.8750,  106.073, -30.902,   2.688, 110.515,   -0.121,  -1.923,   0.437,   1.975,   -7.649, -25.130,  -0.578,  26.275,    0.000,   0.000,   0.000,   0.000
  2.1875,  117.877, -34.104,   1.630, 122.722,   -0.085,  -1.933,   0.438,   1.984,   -7.822, -25.920,  -1.149,  27.099,    0.000,   0.000,   0.000,   0.000
  2.5000,  128.834, -36.928,   0.314, 134.023,   -0.045,  -1.944,   0.438,   1.994,   -8.015, -26.825,  -1.746,  28.051,    0.000,   0.000,   0.000,   0.000
  2.8125,  139.241, -39.418,  -1.202, 144.718,   -0.003,  -1.956,   0.438,   2.005,   -8.229, -27.839,  -2.362,  29.126,    0.000,   0.000,   0.000,   0.000
  3.1250,  149.432, -41.628,  -2.878, 155.149,    0.041,  -1.969,   0.437,   2.017,   -8.458, -28.957,  -2.990,  30.315,    0.000,   0.000,   0.000,   0.000
  3.4375,  159.733, -43.620,  -4.711, 165.649,    0.089,  -1.983,   0.435,   2.032,   -8.699, -30.172,  -3.623,  31.609,    0.000,   0.000,   0.000,   0.000
  3.7500,  170.432, -45.456,  -6.736, 176.519,    0.140,  -1.996,   0.433,   2.048,   -8.944, -31.478,  -4.258,  33.000,    0.000,   0.000,   0.000,   0.000
  4.0625,  181.765, -47.203,  -9.022, 188.011,    0.194,  -2.011,   0.430,   2.066,   -9.191, -32.867,  -4.895,  34.477,    0.000,   0.000,   0.000,   0.000
  4.3750,  193.906, -48.922, -11.669, 200.322,    0.252,  -2.026,   0.427,   2.086,   -9.436, -34.329,  -5.537,  36.030,    0.000,   0.000,   0.000,   0.000
  4.6875,  206.972, -50.671, -14.789, 213.597,    0.314,  -2.041,   0.423,   2.108,   -9.683, -35.852,  -6.192,  37.649,    0.000,   0.000,   0.000,   0.000
  5.0000,  221.026, -52.488, -18.502, 227.925,    0.380,  -2.057,   0.418,   2.133,   -9.938, -37.417,  -6.869,  39.319,    0.000,   0.000,   0.000,   0.000
  5.3125,  236.086, -54.394, -22.922, 243.353,    0.451,  -2.073,   0.411,   2.161,  -10.210, -39.006,  -7.582,  41.027,    0.000,   0.000,   0.000,   0.000
  5.6250,  252.133, -56.375, -28.153, 259.888,    0.528,  -2.090,   0.404,   2.193,  -10.511, -40.600,  -8.343,  42.760,    0.000,   0.000,   0.000,   0.000
  5.9375,  269.129, -58.390, -34.279, 277.515,    0.609,  -2.108,   0.394,   2.229,  -10.851, -42.182,  -9.162,  44.508,    0.000,   0.000,   0.000,   0.000
  6.2500,  287.023, -60.369, -41.356, 296.205,    0.696,  -2.126,   0.383,   2.270,  -11.241, -43.744, -10.044,  46.268,    0.000,   0.000,   0.000,   0.000
  6.5625,  305.764, -62.232, -49.406, 315.920,    0.788,  -2.146,   0.369,   2.315,  -11.687, -45.282, -10.990,  48.040,    0.000,   0.000,   0.000,   0.000
  6.8750,  325.293, -63.901, -58.419, 336.618,    0.887,  -2.166,   0.353,   2.367,  -12.193, -46.801, -11.995,  49.829,    0.000,   0.000,   0.000,   0.000
  7.1875,  345.545, -65.324, -68.359, 358.248,    0.991,  -2.186,   0.333,   2.424,  -12.758, -48.308, -13.053,  51.641,    0.000,   0.000,   0.000,   0.000
  7.5000,  366.429, -66.482, -79.182, 380.736,    1.102,  -2.208,   0.310,   2.487,  -13.379, -49.810, -14.156,  53.483,    0.000,   0.000,   0.000,   0.000
  7.8125,  387.826, -67.397, -90.842, 403.985,    1.219,  -2.229,   0.283,   2.556,  -14.052, -51.316, -15.299,  55.361,    0.000,   0.000,   0.000,   0.000
  8.1250,  409.578, -68.120,-103.305, 427.863,    1.343,  -2.250,   0.252,   2.633,  -14.770, -52.828, -16.483,  57.277,   -0.005,  -0.016,  -0.005,   0.018
  8.4375,  431.487, -68.725,-116.556, 452.205,    1.474,  -2.272,   0.218,   2.717,  -15.529, -54.346, -17.709,  59.231,   -0.009,  -0.033,  -0.010,   0.036
  8.7500,  453.320, -69.296,-130.602, 476.820,    1.612,  -2.293,   0.179,   2.809,  -16.322, -55.868, -18.985,  61.222,   -0.014,  -0.050,  -0.016,   0.055
  9.0625,  474.814, -69.910,-145.469, 501.494,    1.757,  -2.314,   0.136,   2.909,  -17.147, -57.386, -20.316,  63.245,   -0.019,  -0.068,  -0.022,   0.074
  9.3750,  495.679, -70.630,-161.198, 525.996,    1.908,  -2.336,   0.088,   3.018,  -17.998, -58.895, -21.706,  65.297,   -0.025,  -0.086,  -0.029,   0.094
  9.6875,  515.609, -71.492,-177.837, 550.082,    2.066,  -2.358,   0.035,   3.135,  -18.875, -60.384, -23.153,  67.369,   -0.031,  -0.105,  -0.036,   0.115
 10.0000,  534.280, -72.504,-195.423, 573.500,    2.230,  -2.380,  -0.023,   3.262,  -19.775, -61.845, -24.651,  69.452,   -0.037,  -0.124,  -0.043,   0.136
 10.3125,  551.362, -73.645,-213.970, 595.992,    2.400,  -2.403,  -0.086,   3.397,  -20.699, -63.265, -26.188,  71.531,   -0.043,  -0.143,  -0.051,   0.158
 10.6250,  566.527, -74.875,-233.459, 617.302,    2.575,  -2.426,  -0.156,   3.541,  -21.646, -64.627, -27.742,  73.585,   -0.050,  -0.163,  -0.060,   0.181
 10.9375,  579.458, -76.147,-253.822, 637.178,    2.755,  -2.449,  -0.231,   3.693,  -22.619, -65.913, -29.291,  75.592,   -0.057,  -0.184,  -0.069,   0.204
 11.2500,  589.867, -77.407,-274.943, 655.385,    2.938,  -2.473,  -0.313,   3.853,  -23.620, -67.103, -30.804,  77.522,   -0.064,  -0.205,  -0.078,   0.228
 11.5625,  597.501, -78.603,-296.657, 671.708,    3.124,  -2.498,  -0.402,   4.020,  -24.648, -68.172, -32.252,  79.342,   -0.071,  -0.226,  -0.088,   0.252
 11.8750,  602.158, -79.678,-318.743, 685.959,    3.313,  -2.522,  -0.497,   4.193,  -25.697, -69.097, -33.603,  81.018,   -0.079,  -0.247,  -0.098,   0.277
 12.1875,  603.690, -80.563,-340.936, 697.975,    3.502,  -2.547,  -0.600,   4.371,  -26.760, -69.855, -34.833,  82.517,   -0.087,  -0.269,  -0.109,   0.303
 12.5000,  602.007, -81.177,-362.924, 707.613,    3.691,  -2.572,  -0.709,   4.554,  -27.819, -70.425, -35.923,  83.810,   -0.096,  -0.291,  -0.120,   0.329
 12.8125,  597.070, -81.425,-384.368, 714.746,    3.879,  -2.598,  -0.826,   4.741,  -28.858, -70.793, -36.865,  84.873,   -0.105,  -0.313,  -0.131,   0.355
 13.1250,  588.887, -81.207,-404.923, 719.267,    4.065,  -2.623,  -0.950,   4.930,  -29.854, -70.950, -37.658,  85.693,   -0.114,  -0.335,  -0.143,   0.382
 13.4375,  577.507, -80.427,-424.260, 721.096,    4.247,  -2.649,  -1.080,   5.121,  -30.788, -70.895, -38.310,  86.265,   -0.123,  -0.357,  -0.155,   0.408
 13.7500,  563.016, -79.002,-442.087, 720.187,    4.426,  -2.674,  -1.216,   5.312,  -31.640, -70.638, -38.831,  86.595,   -0.133,  -0.379,  -0.167,   0.435
 14.0625,  545.536, -76.874,-458.169, 716.546,    4.600,  -2.699,  -1.358,   5.503,  -32.400, -70.195, -39.235,  86.698,   -0.143,  -0.401,  -0.179,   0.462
 14.3750,  525.229, -74.017,-472.329, 710.239,    4.768,  -2.723,  -1.504,   5.693,  -33.058, -69.589, -39.535,  86.594,   -0.153,  -0.423,  -0.191,   0.489
 14.6875,  502.295, -70.432,-484.461, 701.401,    4.929,  -2.746,  -1.655,   5.880,  -33.615, -68.844, -39.740,  86.306,   -0.164,  -0.445,  -0.204,   0.516
 15.0000,  476.964, -66.149,-494.518, 690.231,    5.082,  -2.767,  -1.808,   6.062,  -34.073, -67.983, -39.859,  85.857,   -0.174,  -0.466,  -0.216,   0.543
 15.3125,  449.485, -61.211,-502.515, 676.982,    5.227,  -2.787,  -1.965,   6.241,  -34.439, -67.028, -39.897,  85.268,   -0.185,  -0.487,  -0.229,   0.569
 15.6250,  420.113, -55.667,-508.510, 661.949,    5.363,  -2.805,  -2.123,   6.414,  -34.722, -65.996, -39.856,  84.555,   -0.196,  -0.508,  -0.241,   0.595
 15.9375,  389.103, -49.565,-512.591, 645.452,    5.489,  -2.822,  -2.283,   6.581,  -34.929, -64.899, -39.733,  83.729,   -0.207,  -0.528,  -0.253,   0.621
 16.2500,  356.712, -42.946,-514.867, 627.834,    5.606,  -2.836,  -2.443,   6.741,  -35.065, -63.744, -39.521,  82.793,   -0.218,  -0.549,  -0.266,   0.647
 16.5625,  323.198, -35.841,-515.456, 609.456,    5.712,  -2.848,  -2.604,   6.894,  -35.134, -62.534, -39.207,  81.744,   -0.229,  -0.568,  -0.278,   0.673
 16.8750,  288.823, -28.278,-514.487, 590.690,    5.808,  -2.858,  -2.765,   7.039,  -35.138, -61.274, -38.778,  80.578,   -0.240,  -0.588,  -0.290,   0.698
 17.1875,  253.855, -20.279,-512.088, 571.916,    5.893,  -2.866,  -2.926,   7.176,  -35.075, -59.963, -38.223,  79.290,   -0.251,  -0.607,  -0.302,   0.723
 17.5000,  218.561, -11.873,-508.385, 553.503,    5.966,  -2.871,  -3.085,   7.305,  -34.946, -58.606, -37.538,  77.878,   -0.262,  -0.625,  -0.314,   0.747
 17.8125,  183.200,  -3.094,-503.488, 535.791,    6.029,  -2.874,  -3.243,   7.424,  -34.750, -57.210, -36.728,  76.351,   -0.273,  -0.643,  -0.326,   0.771
 18.1250,  148.009,   6.001,-497.487, 519.072,    6.080,  -2.874,  -3.399,   7.535,  -34.492, -55.783, -35.808,  74.724,   -0.283,  -0.661,  -0.337,   0.794
 18.4375,  113.203,  15.330,-490.448, 503.577,    6.121,  -2.871,  -3.553,   7.637,  -34.177, -54.339, -34.804,  73.021,   -0.294,  -0.678,  -0.348,   0.817
 18.7500,   78.967,  24.783,-482.414, 489.462,    6.150,  -2.865,  -3.705,   7.730,  -33.815, -52.889, -33.752,  71.274,   -0.305,  -0.695,  -0.359,   0.839
 19.0625,   45.462,  34.229,-473.408, 476.816,    6.170,  -2.855,  -3.854,   7.815,  -33.415, -51.449, -32.688,  69.513,   -0.315,  -0.711,  -0.369,   0.861
 19.3750,   12.834,  43.531,-463.443, 465.660,    6.179,  -2.843,  -4.001,   7.891,  -32.986, -50.031, -31.645,  67.769,   -0.326,  -0.727,  -0.379,   0.882
 19.6875,  -18.778,  52.563,-452.530, 455.959,    6.178,  -2.828,  -4.144,   7.958,  -32.534, -48.647, -30.648,  66.063,   -0.336,  -0.742,  -0.389,   0.903
 20.0000,  -49.239,  61.217,-440.687, 447.635,    6.167,  -2.810,  -4.284,   8.017,  -32.067, -47.308, -29.711,  64.413,   -0.346,  -0.757,  -0.398,   0.923
 20.3125,  -78.406,  69.412,-427.951, 440.576,    6.147,  -2.789,  -4.420,   8.068,  -31.590, -46.021, -28.833,  62.827,    0.000,   0.000,   0.000,   0.000
 20.6250, -106.139,  77.089,-414.383, 434.651,    6.118,  -2.766,  -4.552,   8.112,  -31.110, -44.795, -28.005,  61.308,    0.000,   0.000,   0.000,   0.000
 20.9375, -132.299,  84.214,-400.074, 429.714,    6.081,  -2.740,  -4.680,   8.147,  -30.633, -43.636, -27.209,  59.857,    0.000,   0.000,   0.000,   0.000
 21.2500, -156.769,  90.778,-385.141, 425.618,    6.035,  -2.712,  -4.803,   8.176,  -30.170, -42.549, -26.425,  58.472,    0.000,   0.000,   0.000,   0.000
 21.5625, -179.454,  96.794,-369.723, 422.217,    5.982,  -2.683,  -4.921,   8.197,  -29.728, -41.538, -25.638,  57.153,    0.000,   0.000,   0.000,   0.000
 21.8750, -200.289, 102.302,-353.973, 419.379,    5.922,  -2.651,  -5.034,   8.212,  -29.316, -40.606, -24.834,  55.902,    0.000,   0.000,   0.000,   0.000
 22.1875, -219.244, 107.366,-338.044, 416.976,    5.856,  -2.618,  -5.141,   8.221,  -28.940, -39.758, -24.009,  54.723,    0.000,   0.000,   0.000,   0.000
 22.5000, -236.316, 112.066,-322.075, 414.893,    5.785,  -2.584,  -5.244,   8.225,  -28.600, -38.996, -23.161,  53.619,    0.000,   0.000,   0.000,   0.000
 22.8125, -251.531, 116.480,-306.185, 413.019,    5.708,  -2.549,  -5.342,   8.223,  -28.297, -38.324, -22.291,  52.596,    0.000,   0.000,   0.000,   0.000
 23.1250, -264.942, 120.675,-290.468, 411.252,    5.627,  -2.512,  -5.435,   8.217,  -28.025, -37.745, -21.400,  51.653,    0.000,   0.000,   0.000,   0.000
 23.4375, -276.625, 124.696,-274.992, 409.501,    5.542,  -2.474,  -5.523,   8.206,  -27.779, -37.261, -20.486,  50.791,    0.000,   0.000,   0.000,   0.000
 23.7500, -286.673, 128.561,-259.806, 407.687,    5.454,  -2.435,  -5.607,   8.192,  -27.551, -36.873, -19.547,  50.007,    0.000,   0.000,   0.000,   0.000
 24.0625, -295.195, 132.268,-244.942, 405.748,    5.363,  -2.394,  -5.685,   8.174,  -27.333, -36.583, -18.576,  49.300,    0.000,   0.000,   0.000,   0.000
 24.3750, -302.310, 135.809,-230.423, 403.646,    5.269,  -2.352,  -5.760,   8.153,  -27.120, -36.390, -17.567,  48.665,    0.000,   0.000,   0.000,   0.000
